attore,stato,leva,dominio,dove_persiste,cosa_cambia,dove_ui,se_la_togliamo
admin,viva,canonical_key — identita' del cibo nel menù,superfici_admin,public.nutrition_menu_foods.canonical_key (chiave primaria),E' la chiave con cui il motore evita di ripetere lo STESSO cibo nella stessa giornata e con cui i piani persistiti (meal_item.canonical_key) vengono ricollegati alla famiglia di rotazione della settimana.,"/admin/alimenti, dialog «Aggiungi» (obbligatorio, snake_case, precompilato dalla descrizione USDA); NON modificabile dopo — AdminMenuFoodAddDialog.tsx:160",Non e' rimovibile: e' la PK della tabella e la chiave di collegamento con i piani gia' scritti.
admin,viva,fdc_id — a quale alimento USDA e' agganciato il cibo del menù,superfici_admin,public.nutrition_menu_foods.fdc_id (bigint),"Determina le MACRO per 100 g usate dal solver grammi, quindi quanti grammi finiscono nel piatto. E' l'unico ponte fra il catalogo curato e i numeri nutrizionali.","/admin/alimenti, dialog «Aggiungi» (si sceglie cercando nel DB alimenti, AdminMenuFoodAddDialog.tsx:114); NON modificabile in modifica — api/admin/menu-foods/[k",Non e' rimovibile: senza fdc_id non ci sono macro e la riga viene ignorata (menu-food-catalog-db.ts:80-82).
admin,viva,is_active — accendi/spegni un cibo del menù,superfici_admin,public.nutrition_menu_foods.is_active (boolean),Se false il cibo NON esiste per il motore: non viene mai proposto a nessun atleta. E' il modo reversibile di ritirare un alimento per tutti.,"/admin/alimenti, «Catalogo menù», interruttore per riga — AdminMenuCatalogSection.tsx:168-171 (PATCH {is_active})","Resterebbe solo la DELETE, irreversibile. Le 11 righe spente tornerebbero in circolo."
admin,viva,is_animal_product — flag prodotto animale,superfici_admin,public.nutrition_menu_foods.is_animal_product (boolean). In prod: 208 righe true,"Esclude il cibo SOLO per i vegani (uova, latticini, miele).","/admin/alimenti, dialog «Modifica» del Catalogo menù, checkbox — AdminMenuFoodEditDialog.tsx:122",Si perde il supporto vegano sui cibi del catalogo.
admin,viva,is_fish — flag pesce,superfici_admin,public.nutrition_menu_foods.is_fish (boolean). In prod: 73 righe true,Esclude il cibo per vegetariani e vegani (i pescetariani lo mantengono).,"/admin/alimenti, dialog «Modifica» del Catalogo menù, checkbox — AdminMenuFoodEditDialog.tsx:121",Come is_meat: cade il filtro dieta per i cibi del catalogo.
admin,viva,is_meat — flag carne,superfici_admin,public.nutrition_menu_foods.is_meat (boolean). In prod: 68 righe true,"E' l'UNICA cosa che rende un cibo del catalogo invisibile a pescetariani, vegetariani e vegani. Nessuna inferenza automatica: flag sbagliato = carne nel piano di un vegetariano.","/admin/alimenti, dialog «Modifica» del Catalogo menù, checkbox — AdminMenuFoodEditDialog.tsx:120 (payload); badge in lista AdminMenuCatalogSection.tsx","Si rompe il rispetto della dieta sui cibi del catalogo: menuFoodEntryToHit (fdc-staple-registry.ts:509) mette `dietProfile: [""omnivore""]` FISSO, quindi la classificazione automatica di nutrition_fdc_food_tags NON copre queste entry."
admin,viva,label_it — nome italiano del cibo del menù,superfici_admin,public.nutrition_menu_foods.label_it (text not null),DUE effetti reali. (1) E' il nome che l'atleta legge nel Piano («80 g riso integrale»). (2) E' il testo su cui vengono applicate le ESCLUSIONI alimentari dell'atleta: rinominare un cibo puo' far sfuggire o far scattare un'esclusione.,"/admin/alimenti, dialog «Modifica» del Catalogo menù, campo testo obbligatorio — AdminMenuFoodEditDialog.tsx:192-201","Il Piano mostrerebbe le descrizioni USDA grezze in inglese («Rice, brown, long-grain, cooked») e le esclusioni dell'atleta perderebbero il testo su cui fanno match."
admin,viva,nutrition_menu_foods — catalogo menu in DB (LEVA MANCANTE nella scheda),contratto_motore,"tabella nutrition_menu_foods (canonical_key, fdc_id, label_it, serving_basis, pool_keys, rotation_key, carb_family, ...) — 503 righe, 492 con is_active = true","e la fonte PRIMARIA dei pool: quando il pool del menu esiste e non e vuoto, pickStapleForPool usa SOLO quello e l'allowlist hardcoded non viene nemmeno guardata. Aggiungere o disattivare una riga cambia direttamente quali cibi possono comparire nel piano — senza deploy",pannello admin alimenti (/admin/alimenti); nessuna UI atleta o coach,"il motore ricade sull'allowlist hardcoded in fdc-staple-registry.ts: molto piu povera, e la varieta del piano crolla. E la leva piu potente sulla scelta del cibo e non passa affatto dal request"
admin,viva,pool_keys — in quali slot del pasto un cibo puo' comparire,superfici_admin,public.nutrition_menu_foods.pool_keys (text[]); valori ammessi solo gli 11 di apps/web/lib/nutrition/v2/menu-food-pools.ts:12-23,"Decide se un alimento e' pescabile per Colazione cho/pro/fat, Pranzo carb/pro/veg, Cena carb/pro/veg, Spuntino cho/pro. E' la leva piu' strutturale del catalogo.","/admin/alimenti, dialog «Modifica» del Catalogo menù, griglia di 11 checkbox — AdminMenuFoodEditDialog.tsx:101 (toggle) e :117 (payload); etichette italiane in ",Non c'e' modo di dire al motore in che pasto usare un alimento: la riga verrebbe scartata (menu-food-catalog-db.ts:80). Non e' rimovibile senza riscrivere il caricamento dei pool.
admin,viva,rotation_key — famiglia di rotazione settimanale,superfici_admin,"public.nutrition_menu_foods.rotation_key (text, nullable). In prod: 402 righe su 503 valorizzate",E' l'etichetta con cui il motore conta «quante volte questa settimana hai gia' mangiato questa famiglia». Cibi con la stessa rotation_key competono fra loro per non ripetersi.,"/admin/alimenti, dialog «Modifica» del Catalogo menù, campo testo libero (es. carb:pasta) — AdminMenuFoodEditDialog.tsx:237-247",Il motore perde la varieta' per famiglia sui cibi del catalogo: resta solo la dedupe per canonical_key esatta (:545) e per fdcId (:554). Pasta e spaghetti potrebbero uscire lo stesso giorno.
admin,viva,"serving_basis — grammi a crudo, a cotto o millilitri",superfici_admin,"public.nutrition_menu_foods.serving_basis, check DB su ('dry_grams','cooked_grams','ml'). In prod: 74 righe cooked_grams, 24 ml, il resto dry_grams","Cambia la frase che l'atleta legge: «80 g riso (peso a crudo)» vs «80 g riso cotto» vs «15 ml olio». Non cambia le macro (sempre per 100 g del dato USDA), cambia quanto cibo finisce nel piatto.","/admin/alimenti, dialog «Modifica» del Catalogo menù, select con 3 opzioni — AdminMenuFoodEditDialog.tsx:205-219",Si perde la distinzione crudo/cotto (80 g di pasta secca ≠ 80 g di pasta cotta). Il default diventerebbe dry_grams per tutti.
admin,viva,sort_priority — ordine di preferenza dentro il pool,superfici_admin,"public.nutrition_menu_foods.sort_priority (int, default 200). In prod 5 valori distinti: 100 (100 righe), 150 (103), 200 (192), 250 (1), 300 (107)","Determina la posizione dell'alimento nella lista del pool, e la posizione entra DIRETTAMENTE nel punteggio: piu' in alto = piu' probabile che venga scelto.","/admin/alimenti, dialog «Modifica» del Catalogo menù, input numerico (default 200) — AdminMenuFoodEditDialog.tsx:222-232","L'ordine resterebbe solo alfabetico per canonical_key: il motore continua a funzionare, ma si perde il controllo su quali alimenti privilegiare."
admin,viva,«Carica libreria» — upload in blocco di immagini nel bucket,superfici_admin,solo bucket storage `food-images/library/` (nessuna riga DB toccata),"Nulla di per se': popola il magazzino di immagini fra cui scegliere poi nel dialog per alimento. Max 200 file, 5 MB ciascuno.","/admin/alimenti, «Gestione Alimenti», bottone che apre il file picker multiplo — AdminFoodsManager.tsx:157 (POST) e :281-289 (bottone)",Si dovrebbe caricare un'immagine alla volta dentro ogni scheda alimento. Pura comodita'.
admin,parziale,Categoria dell'alimento (fdc_food.food_category),superfici_admin,public.fdc_food.food_category,"Sul motore vivo: solo la FOTO di fallback per gli item risolti per chiave canonica. Sul pannello admin: le pill di filtro e il conteggio «selectable». Nel motore Postgres spento sarebbe determinante (la matview ne deriva selectable, meal_course, slot_fit, diet_profile).","/admin/alimenti, dialog «Modifica alimento», campo testo con datalist — AdminFoodEditDialog.tsx:274-288; pill di filtro in AdminFoodsManager.tsx (via RPC fdc_fo",Si perde il fallback foto per categoria (solo per gli item senza fdc_id) e il filtro a pill del pannello admin.
admin,parziale,NEXT_PUBLIC_USE_DAY_HUB — hub giorno singolo per kcal e training del giorno,superfici_admin,process.env (esposta al browser),"Nella pagina Nutrizione, quando =1, il giorno selezionato viene idratato da /api/operational/day-hub PRIMA della chiamata al contesto modulo: il dailyEnergyModel dell'hub VINCE su quello dello snapshot (hubEnergyApplied) e le sedute planned/executed dell'hub vengono unite allo stato. E' una leva di percorso dati/performance, non di contenuto: i due percorsi calcolano il modello con la STESSA funzi",nessuna UI — .env.example:412 (default off),"Con default off si toglie il ramo `if` e la funzione fetchOperationalDayHub dalla pagina Nutrizione: comportamento odierno invariato. Da valutare insieme al destino di /api/operational/day-hub, che ha un solo consumatore."
admin,parziale,NUTRITION_MEAL_PLAN_ENGINE — scelta globale del motore (v1|v2|shadow|db),superfici_admin,process.env sul server Next; nessuna riga DB,"Quasi nulla sul percorso principale: il browser chiama la Edge Function, che esegue sempre V2 senza consultare alcun flag. Il flag conta solo quando la route Next fa da fallback (edge irraggiungibile o 5xx).",nessuna UI — variabile d'ambiente del deploy (Vercel). Documentata in apps/web/.env.example:397-399,"Si perde il rollback d'emergenza a v1 sul ramo Next. Dato che l'edge ignora il flag, il rollback reale richiederebbe comunque un redeploy dell'edge."
admin,parziale,NUTRITION_MEAL_PLAN_ENGINE_DEV — shadow automatico in sviluppo,superfici_admin,process.env,Solo in NODE_ENV=development: forza il motore 'shadow' (esegue V1 e V2 e logga il diff). Nessun effetto in produzione.,nessuna UI — variabile d'ambiente locale (.env.example:400),"Perdita di uno strumento di sviluppo, zero impatto prod."
admin,parziale,NUTRITION_MEAL_PLAN_SHADOW_LOG — log del diff V1/V2 in produzione,superfici_admin,process.env,Solo osservabilita': abilita la scrittura del log di confronto fra motori quando gira il ramo shadow. Non cambia MAI il piano.,nessuna UI — variabile d'ambiente (.env.example:401),Nulla di funzionale.
admin,parziale,Scelta del motore di generazione (v1 / v2 / shadow / db) e il motore energetico in Postgres,calcolo_automatico,athlete_profiles.nutrition_config -> meal_plan_engine; oppure env NUTRITION_MEAL_PLAN_ENGINE,"Cambia TUTTO il motore: v2 (compositore FDC + fueling substrati, default), v1 (mediterranean composer), shadow (gira entrambi ma risponde V1), db (delega alla RPC Postgres generate_plan e rilegge il piano persistito, ignorando quasi tutto il calcolo TypeScript).",nessuna UI (variabile d'ambiente o chiave JSON nel profilo),"Togliere i rami v1/shadow/db semplifica enormemente la mappa mentale (oggi ci sono quattro motori nominalmente vivi e uno solo davvero usato). Ma NON e' un taglio a costo zero: con il ramo 'db' se ne vanno anche generate_plan, fn_daily_targets, fn_select_food, nutrition_meal_distribution e nutrition"
admin,parziale,«Escludi profilo» — esclusione permanente dell'alimento dal profilo atleta,superfici_coach,"athlete_profiles.food_exclusions (ARRAY) — scrittura immediata, non passa dal form profilo",Aggiunge il nome dell'alimento alle esclusioni permanenti: da quel momento il deny testuale lo scarta in ogni piano futuro.,"apps/web/modules/nutrition/components/EmpathyMealPlanExpositionCard.tsx:528-533 — secondo bottone, stessa condizione `showCoachControls && platformAdminView`","E' una scorciatoia sullo stesso campo che si edita nel profilo: togliendola non si perde nessuna capacita', solo comodita'."
admin,parziale,«Genera il mio piano pasti» / «Rigenera»,superfici_coach,Indirettamente: la generazione persiste in nutrition_plan / meal / meal_item (REPLACE per data),Forza una nuova composizione. Rilevante perche' il piano si rigenera comunque da solo.,"apps/web/modules/nutrition/views/sections/MealPlanSection.tsx:183-210 — dentro `{platformAdminView ? … : null}`, col commento «azione riservata allo staff (admi",Nessun impatto sul coach (non lo vede) ne' sull'atleta (il piano si genera da solo).
admin,parziale,«Ricalcola tag» — rigenera la materialized view dei tag derivati,superfici_admin,nessuna colonna: rinfresca la matview public.fdc_food_tagged (8149 righe),"Nulla sul piano generato. Aggiorna pero' DAVVERO le pill di categoria e i conteggi «selectable» del pannello admin. Il messaggio della UI resta fuorviante: promette di aggiornare «il motore menù», ma i tag del motore vivo stanno in un'ALTRA tabella che questa azione non tocca.","/admin/alimenti, «Gestione Alimenti», bottone con conferma — AdminFoodsManager.tsx:204-219 (POST) e :291-303; testo di conferma a :20-21",Nessun piano cambia; le categorie del pannello admin diventano stantie dopo una modifica di food_category. Resta scoperto il bisogno vero: ricalcolare i tag del motore VIVO richiede uno script da riga di comando.
admin,parziale,«Togli» — rimozione di una voce dal pasto generato,superfici_coach,NIENTE — solo stato React di sessione: coachMealRemovalKeys in NutritionPageView.tsx:500,"Nasconde la voce dalla card e la scala fuori dai totali kcal; il nome confluisce nelle esclusioni di sessione, quindi alla generazione successiva non ricompare.",apps/web/modules/nutrition/components/EmpathyMealPlanExpositionCard.tsx:517-527 — bottone su ogni alimento. Condizione: `showCoachControls && platformAdminView`,"Nessuna persistenza da migrare. Da notare: oggi il coach vero NON ha alcun modo di intervenire su una singola voce del piano, quindi togliendo questa non si sta togliendo niente al coach."
admin,inerte,Anteprima V2 (route /api/nutrition/intelligent-meal-plan-v2 + MealPlanV2PreviewPanel),leve_morte,nessuna persistenza,Mostra un secondo rendering del piano V2 accanto a quello vero. Non tocca il piano.,"NutritionPageView.tsx:3419-3420, dietro isMealPlanV2PreviewUiEnabled()","Cade anche build-meal-plan-v2-preview.ts - un secondo builder V2 con logica propria, importato solo da questa route e da scripts/test-meal-plan-v2-smoke.ts. E il doppione piu vistoso fra i motori in-repo."
admin,inerte,Banca dati alimenti CIQUAL (nutrition_ciqual_foods),schema_db,"nutrition_ciqual_foods (21 colonne, kcal_100g, protein_100g, carbs_100g, fat_100g, sat_fat_100g…) — 3.281 righe",Nulla a runtime. È il bacino da cui si curano righe da copiare in nutrition_fdc_foods / nutrition_menu_foods.,nessuna UI; attribuzione ANSES mostrata in modules/nutrition/components/EmpathyMealPlanExpositionCard.tsx:576,I 34 alimenti già curati restano (vivono in nutrition_fdc_foods/nutrition_menu_foods). Si perde solo la possibilità di curarne altri senza rifare l'import. Va tenuta finché il catalogo menù si arricchisce — la licenza Etalab 2.0 obbliga comunque a mantenere l'attribuzione già presente in UI.
admin,inerte,"Blocco nutrition_config.meal_plan (daily_kcal, caloric_split, macro_split, meal_strategy)",leve_morte,nutrition_config.meal_plan - ASSENTE su tutti i 41 profili,Nulla. E un intero ramo di lettura che non ha mai avuto dati.,"scritto solo da handleSaveNutrition (staff, mai usato in prod)",Nulla. Si semplificano readFromLegacyRoot e ~15 righe del sanitizer.
admin,inerte,Bonus alimenti consigliati (bonus_preferiti),superfici_admin,"public.nutrition_engine_config, key='bonus_preferiti', value=6 (0-30)",Solo nel motore Postgres spento: favorisce olio EVO e integrali. Sul piano vivo: nulla (il V2 ha bonus analoghi ma cablati).,"/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
admin,inerte,Descrizione dell'alimento (fdc_food.description),superfici_admin,public.fdc_food.description,Nulla per l'atleta. Cambia solo cio' che l'admin stesso vede nella lista di «Gestione Alimenti» (la lista e' ordinata e cercata su questo campo).,"/admin/alimenti, dialog «Modifica alimento», campo testo obbligatorio — AdminFoodEditDialog.tsx:266-272",Nessun impatto sull'atleta. Si perde solo la leggibilita' della lista admin (che e' cercata e ordinata su questo campo).
admin,inerte,Distribuzione calorica per numero di pasti (tabella nutrition_meal_distribution),schema_db,"nutrition_meal_distribution (meal_count, slot, slot_order, kcal_pct) — 21 righe","Nulla oggi. Sarebbe la tabella «se i pasti sono N, la colazione vale X%»: la versione DB della distribuzione calorica.",nessuna UI,"Niente oggi. Ma è interessante come MODELLO: 21 righe che descrivono esattamente la «regola automatica» che servirebbe se si togliesse la distribuzione manuale dal profilo. Prima di droppare, copiarne il contenuto."
admin,inerte,FDC_CACHE_ONLY — disattiva le chiamate USDA live,superfici_admin,process.env,Nulla: non e' letta da nessuna parte. E' un residuo documentale di quando il motore chiamava l'API USDA.,nessuna UI — documentata in .env.example:392,Nulla. Cancellazione a costo zero (due righe di documentazione).
admin,inerte,Forza della rotazione proteica (bonus_famiglia_rotazione),superfici_admin,"public.nutrition_engine_config, key='bonus_famiglia_rotazione', value=18 (0-50)","Solo nel motore Postgres spento: bonus alla famiglia proteica del giorno (pollo/pesce/maiale/manzo/legumi, rotazione su 5). Nel motore vivo la rotazione esiste ma e' governata da costanti TypeScript non esposte.","/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
admin,inerte,"Manopole what-if Predictor + Fueling manuale (durata, %FTP, CHO g/h, ml/h, sodio, cofattore, sport/distanza/tempo) e «stimolo dominante»",leve_morte,"dovrebbe scrivere nutrition_config.fueling, .performance_predictor, .nutriomics_engine, .meal_plan",Nulla sul piano. Il CHO g/h impostato a mano viene per giunta scavalcato dal motore.,"NutritionPageView.tsx:3301-3339 (PredictorSection dentro Pro2Accordion, gate `showTech` = coach o adminScoped, riga 350) col bottone Salva a :3332",Nulla. E il caso piu netto: una schermata di manopole che nessuno ha mai salvato e che nessun motore legge.
admin,inerte,Motore DB Postgres (generate_plan) + mapper readDbPlanAsAssembledCore,leve_morte,nutrition_plan / meal / meal_item (scritti dalla RPC),"Genererebbe il piano dentro Postgres invece che in TypeScript, e comunque senza kcal/macro/n.pasti del coach.",nessuna UI,"Cadono ~170 righe di mapper dentro la route e, a cascata, la giustificazione di nutrition_engine_config e fn_select_food. Le funzioni SQL possono restare in DB senza chiamanti."
admin,inerte,Motore V1 mediterraneo (ramo legacy raggiungibile),leve_morte,nessuna persistenza (ramo di codice),Genererebbe il piano con buildDeterministicMealPlanFromRequest invece del V2 a staple FDC.,nessuna UI,"Si perde il fallback storico. ATTENZIONE: mediterranean-meal-composer.ts NON e morto - e importato da 20 file, fra cui compose-meal-plan-v2.ts (dayCtx), race-day-pre-race-lunch.ts (pasti gara), enrich-meal-slots-after-compose.ts, v2-mediterranean-meal-adapter.ts, fdc-staple-registry.ts. Va tolto il "
admin,inerte,"Motore shadow (V1 servito, V2 loggato)",leve_morte,nessuna (log di processo),Farebbe girare i due motori in parallelo servendo il V1.,nessuna UI,"Nulla. Era l'impalcatura della migrazione V1->V2, gia conclusa (default V2)."
admin,inerte,Numero di candidati considerati (finestra_rotazione),superfici_admin,"public.nutrition_engine_config, key='finestra_rotazione', value=20 (1-50)",Solo nel motore Postgres spento: e' il `limit (cfg.finestra_rotazione)::int` della top-N fra cui si ruota. Sul piano vivo: nulla.,"/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
admin,inerte,Override motore meal plan per singolo atleta (meal_plan_engine),schema_db,athlete_profiles.nutrition_config -> meal_plan_engine (text: v1 | v2 | shadow | db),"Cambia quale motore genera il piano per quell'atleta, scavalcando l'env NUTRITION_MEAL_PLAN_ENGINE.",nessuna UI (scrivibile solo via API/DB),"Niente oggi, ma è la valvola di rollback per-atleta: toglierla riduce le opzioni di emergenza. Costo di tenerla: 5 righe."
admin,inerte,Parametri di tuning del motore menù (nutrition_engine_config),schema_db,"nutrition_engine_config (key, value, label_it, min_value, max_value) — 9 righe: bonus_famiglia_rotazione 18, bonus_preferiti 6, finestra_rotazione 20, penalita_","Nulla oggi. Sarebbe il punteggio con cui il motore Postgres sceglie gli alimenti (rotazione, penalità saturi/tropicali/processati). La UI admin promette «effetto immediato sulla prossima generazione»: è una promessa falsa.",apps/web/components/admin/foods/AdminEngineConfigSection.tsx (uno slider per parametro); API apps/web/app/api/admin/engine-config/route.ts:40/81/102,"Niente, finché il motore 'db' resta spento. Ma finché resta, la UI admin mente all'utente: o si spegne la UI o si toglie la frase."
admin,inerte,"Parametri motore menu (pannello admin, 9 manopole)",leve_morte,"public.nutrition_engine_config (9 righe verificate: bonus_famiglia_rotazione 18, bonus_preferiti 6, finestra_rotazione 20, penalita_dietetici 25, penalita_grass","Nulla sul piano che gli atleti vedono. Peserebbero la scelta alimenti solo dentro il motore Postgres, che non gira mai.",/Users/antoninonocera/empathy/apps/web/components/admin/foods/AdminEngineConfigSection.tsx:10 (pagina /admin/alimenti); il testo dichiara «Le modifiche hanno ef,Zero impatto sul piano. Va tolto ANCHE il testo che promette effetto immediato: oggi un admin che muove quelle manopole crede di star tarando il motore e non sta facendo nulla.
admin,inerte,Penalita' alimenti crudi (penalita_raw),superfici_admin,"public.nutrition_engine_config, key='penalita_raw', value=6 (0-30)","Solo nel motore Postgres spento: preferisce le versioni «cooked» a quelle «, raw» per il secondo proteico. Sul piano vivo: nulla.","/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
admin,inerte,Penalita' carni/cibi lavorati (penalita_processati),superfici_admin,"public.nutrition_engine_config, key='penalita_processati', value=12 (0-50)","Solo nel motore Postgres spento: riscala pen_processed (wurstel, mortadella, affettati, versioni «light») nella scelta del secondo. Sul piano vivo: nulla.","/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171 (riga generata dalla riga DB)",Nulla. Default 12 cablato in fn_select_food.
admin,inerte,Penalita' grassi tropicali/saturi (penalita_grassi_tropicali),superfici_admin,"public.nutrition_engine_config, key='penalita_grassi_tropicali', value=30 (0-60)","Solo nel motore Postgres spento: evita palma, cocco, strutto, sego sul ruolo «fat». Sul piano vivo: nulla.","/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
